year,level_1,level_2,level_3,value
1960,GDP At Current Market Prices,Goods Producing Industries,Manufacturing,228.2
1960,GDP At Current Market Prices,Goods Producing Industries,Construction,67.7
1960,GDP At Current Market Prices,Goods Producing Industries,Utilities,57
1960,GDP At Current Market Prices,Goods Producing Industries,Other Goods Industries,79.9
1960,GDP At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,601.5
1960,GDP At Current Market Prices,Services Producing Industries,Transportation & Storage,256.3
1960,GDP At Current Market Prices,Services Producing Industries,Accommodation & Food Services,81.5
1960,GDP At Current Market Prices,Services Producing Industries,Information & Communications,50.3
1960,GDP At Current Market Prices,Services Producing Industries,Finance & Insurance,71.9
1960,GDP At Current Market Prices,Services Producing Industries,Business Services,146.4
1960,GDP At Current Market Prices,Services Producing Industries,Other Services Industries,330.8
1961,GDP At Current Market Prices,Goods Producing Industries,Manufacturing,241.1
1961,GDP At Current Market Prices,Goods Producing Industries,Construction,93.6
1961,GDP At Current Market Prices,Goods Producing Industries,Utilities,60
1961,GDP At Current Market Prices,Goods Producing Industries,Other Goods Industries,82.2
1961,GDP At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,652.9
1961,GDP At Current Market Prices,Services Producing Industries,Transportation & Storage,272.8
1961,GDP At Current Market Prices,Services Producing Industries,Accommodation & Food Services,86.5
1961,GDP At Current Market Prices,Services Producing Industries,Information & Communications,51.3
1961,GDP At Current Market Prices,Services Producing Industries,Finance & Insurance,86.5
1961,GDP At Current Market Prices,Services Producing Industries,Business Services,162.3
1961,GDP At Current Market Prices,Services Producing Industries,Other Services Industries,359.1
1962,GDP At Current Market Prices,Goods Producing Industries,Manufacturing,271.4
1962,GDP At Current Market Prices,Goods Producing Industries,Construction,104.4
1962,GDP At Current Market Prices,Goods Producing Industries,Utilities,69.2
1962,GDP At Current Market Prices,Goods Producing Industries,Other Goods Industries,90.8
1962,GDP At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,685.4
1962,GDP At Current Market Prices,Services Producing Industries,Transportation & Storage,280.4
1962,GDP At Current Market Prices,Services Producing Industries,Accommodation & Food Services,91.1
1962,GDP At Current Market Prices,Services Producing Industries,Information & Communications,54.4
1962,GDP At Current Market Prices,Services Producing Industries,Finance & Insurance,97.9
1962,GDP At Current Market Prices,Services Producing Industries,Business Services,199.8
1962,GDP At Current Market Prices,Services Producing Industries,Other Services Industries,383.1
1963,GDP At Current Market Prices,Goods Producing Industries,Manufacturing,328.5
1963,GDP At Current Market Prices,Goods Producing Industries,Construction,127.6
1963,GDP At Current Market Prices,Goods Producing Industries,Utilities,71.4
1963,GDP At Current Market Prices,Goods Producing Industries,Other Goods Industries,91.3
1963,GDP At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,795.6
1963,GDP At Current Market Prices,Services Producing Industries,Transportation & Storage,286.7
1963,GDP At Current Market Prices,Services Producing Industries,Accommodation & Food Services,97.1
1963,GDP At Current Market Prices,Services Producing Industries,Information & Communications,56.5
1963,GDP At Current Market Prices,Services Producing Industries,Finance & Insurance,107.7
1963,GDP At Current Market Prices,Services Producing Industries,Business Services,216.5
1963,GDP At Current Market Prices,Services Producing Industries,Other Services Industries,424
1964,GDP At Current Market Prices,Goods Producing Industries,Manufacturing,350.7
1964,GDP At Current Market Prices,Goods Producing Industries,Construction,150.5
1964,GDP At Current Market Prices,Goods Producing Industries,Utilities,80.5
1964,GDP At Current Market Prices,Goods Producing Industries,Other Goods Industries,91.2
1964,GDP At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,634.9
1964,GDP At Current Market Prices,Services Producing Industries,Transportation & Storage,269.7
1964,GDP At Current Market Prices,Services Producing Industries,Accommodation & Food Services,100.8
1964,GDP At Current Market Prices,Services Producing Industries,Information & Communications,57.4
1964,GDP At Current Market Prices,Services Producing Industries,Finance & Insurance,118.3
1964,GDP At Current Market Prices,Services Producing Industries,Business Services,230.1
1964,GDP At Current Market Prices,Services Producing Industries,Other Services Industries,437.7
1965,GDP At Current Market Prices,Goods Producing Industries,Manufacturing,403.9
1965,GDP At Current Market Prices,Goods Producing Industries,Construction,176.6
1965,GDP At Current Market Prices,Goods Producing Industries,Utilities,80.4
1965,GDP At Current Market Prices,Goods Producing Industries,Other Goods Industries,91.6
1965,GDP At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,665.6
1965,GDP At Current Market Prices,Services Producing Industries,Transportation & Storage,294.2
1965,GDP At Current Market Prices,Services Producing Industries,Accommodation & Food Services,105.2
1965,GDP At Current Market Prices,Services Producing Industries,Information & Communications,59.3
1965,GDP At Current Market Prices,Services Producing Industries,Finance & Insurance,130.3
1965,GDP At Current Market Prices,Services Producing Industries,Business Services,261.3
1965,GDP At Current Market Prices,Services Producing Industries,Other Services Industries,464.8
1966,GDP At Current Market Prices,Goods Producing Industries,Manufacturing,473
1966,GDP At Current Market Prices,Goods Producing Industries,Construction,176.7
1966,GDP At Current Market Prices,Goods Producing Industries,Utilities,96.6
1966,GDP At Current Market Prices,Goods Producing Industries,Other Goods Industries,109.8
1966,GDP At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,795.5
1966,GDP At Current Market Prices,Services Producing Industries,Transportation & Storage,310.3
1966,GDP At Current Market Prices,Services Producing Industries,Accommodation & Food Services,114.9
1966,GDP At Current Market Prices,Services Producing Industries,Information & Communications,64.6
1966,GDP At Current Market Prices,Services Producing Industries,Finance & Insurance,148.9
1966,GDP At Current Market Prices,Services Producing Industries,Business Services,281.1
1966,GDP At Current Market Prices,Services Producing Industries,Other Services Industries,505.2
1967,GDP At Current Market Prices,Goods Producing Industries,Manufacturing,547.8
1967,GDP At Current Market Prices,Goods Producing Industries,Construction,203.1
1967,GDP At Current Market Prices,Goods Producing Industries,Utilities,119.1
1967,GDP At Current Market Prices,Goods Producing Industries,Other Goods Industries,115.4
1967,GDP At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,941.2
1967,GDP At Current Market Prices,Services Producing Industries,Transportation & Storage,342
1967,GDP At Current Market Prices,Services Producing Industries,Accommodation & Food Services,132.7
1967,GDP At Current Market Prices,Services Producing Industries,Information & Communications,73.7
1967,GDP At Current Market Prices,Services Producing Industries,Finance & Insurance,165.5
1967,GDP At Current Market Prices,Services Producing Industries,Business Services,331.6
1967,GDP At Current Market Prices,Services Producing Industries,Other Services Industries,530.5
1968,GDP At Current Market Prices,Goods Producing Industries,Manufacturing,659.3
1968,GDP At Current Market Prices,Goods Producing Industries,Construction,247.4
1968,GDP At Current Market Prices,Goods Producing Industries,Utilities,134.8
1968,GDP At Current Market Prices,Goods Producing Industries,Other Goods Industries,133.1
1968,GDP At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,1066.2
